t,x
1,0.2
11,0.571403105788908
21,1.554559943815729
31,4.1900680235447725
41,7.83454817369528
51,9.19567152377882
61,9.452049088673139
71,9.518490302899805
81,9.454173331056902
91,9.511631752532027
101,9.506773080660407
111,9.446892854508448
121,9.426690067124571
131,9.453800719185903
141,9.466489627141934
151,9.441553248963432
161,9.476864571157092
171,9.502796829766925
181,9.477214927382196
191,9.480977630357993
201,9.433454533186568
211,9.484780052341689
221,9.426836417349922
231,9.452233716842523
241,9.450534401370485
